Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,126.980003,129.160004,126.610001,127.910004,124.135635,2643400
2022-09-16,126.879997,127.349998,125.970001,126.449997,122.718719,6981200
2022-09-19,125.940002,127.860001,125.349998,127.610001,123.844490,2614800
2022-09-20,127.379997,127.449997,126.150002,127.250000,123.495110,2718700
2022-09-21,127.750000,127.980003,125.550003,125.610001,121.903496,2154900
2022-09-22,126.000000,126.279999,124.919998,124.980003,121.292099,1905900
2022-09-23,123.660004,123.980003,122.370003,123.400002,119.758720,2920600
2022-09-26,122.680000,124.419998,122.500000,123.889999,120.234253,3072300
2022-09-27,124.580002,124.769997,122.750000,123.010002,119.380226,2511200
2022-09-28,122.489998,125.430000,122.260002,124.720001,121.039764,2577400
2022-09-29,124.000000,124.660004,123.110001,124.430000,120.758324,2883300
2022-09-30,124.750000,126.000000,124.169998,124.370003,120.700096,1982500
2022-10-03,124.889999,126.500000,124.330002,125.449997,121.748222,2274800
2022-10-04,126.870003,129.229996,126.709999,128.699997,124.902328,4305400
2022-10-05,127.519997,128.309998,127.209999,128.149994,124.368546,1574300
2022-10-06,127.889999,128.000000,123.650002,124.559998,120.884483,9722800
2022-10-07,123.900002,124.010002,120.580002,121.010002,117.439240,4588500
2022-10-11,120.360001,120.589996,117.800003,118.080002,114.595695,5396800
2022-10-12,118.000000,119.309998,117.669998,118.669998,115.168289,2905600
2022-10-13,117.529999,122.860001,116.750000,122.019997,118.419434,7045900
2022-10-14,122.800003,123.739998,121.440002,121.940002,118.341805,5804700
2022-10-17,123.250000,124.669998,123.239998,123.580002,119.933411,6195500
2022-10-18,125.559998,125.910004,123.949997,124.199997,120.535110,7798800
2022-10-19,123.330002,123.900002,122.110001,123.279999,119.642258,4165800
2022-10-20,122.760002,123.510002,121.220001,121.730003,118.137993,5746300
2022-10-21,122.379997,123.839996,121.309998,123.730003,120.078987,3283800
2022-10-24,125.010002,125.110001,124.029999,124.540001,120.865074,5171300
2022-10-25,122.050003,124.180000,122.050003,123.879997,121.473022,16054300
2022-10-26,123.410004,125.519997,123.199997,124.349998,121.933899,3892300
2022-10-27,125.139999,125.900002,124.389999,124.699997,122.277092,5100300
2022-10-28,124.980003,125.750000,124.750000,125.570000,123.130196,2748100
2022-10-31,125.449997,126.699997,125.440002,126.050003,123.600868,3120000
2022-11-01,126.930000,127.209999,125.660004,126.070000,123.620476,1825500
2022-11-02,125.870003,127.699997,125.500000,125.720001,123.277275,3766900
2022-11-03,124.959999,125.870003,124.650002,125.430000,122.992912,3855200
2022-11-04,126.339996,127.709999,126.320000,127.320000,124.846191,2592900
2022-11-07,127.839996,128.639999,127.290001,128.210007,125.718903,3576700
2022-11-08,128.259995,129.570007,128.199997,128.710007,126.209190,1724000
2022-11-09,128.490005,129.020004,127.410004,127.870003,125.385506,2348600
2022-11-10,129.800003,131.380005,129.039993,130.889999,128.346832,3747100
2022-11-11,131.309998,132.130005,130.550003,131.679993,129.121475,2619800
2022-11-14,131.550003,132.130005,131.279999,131.660004,129.101868,5177700
2022-11-15,132.559998,132.990005,130.750000,131.779999,129.219528,2438800
2022-11-16,131.649994,131.779999,130.929993,131.520004,128.964584,5651000
2022-11-17,130.570007,132.350006,130.550003,132.320007,129.749039,3388300
2022-11-18,133.000000,133.750000,132.580002,132.699997,130.121658,2217000
2022-11-21,132.490005,133.000000,132.149994,132.949997,130.366806,5381700
2022-11-22,133.100006,135.179993,132.779999,134.830002,132.210266,3876700
2022-11-23,134.720001,135.690002,134.119995,134.690002,132.072998,2627400
2022-11-24,134.850006,135.429993,134.570007,134.789993,132.171051,1714700
2022-11-25,134.830002,135.429993,134.660004,134.809998,132.190659,1751300
2022-11-28,134.559998,135.440002,132.949997,133.210007,130.621750,2548100
2022-11-29,132.740005,133.990005,131.089996,133.770004,131.170868,2502900
2022-11-30,134.800003,134.899994,131.660004,133.779999,131.180664,5769800
2022-12-01,134.460007,135.449997,133.149994,134.669998,132.053391,2397100
2022-12-02,133.889999,134.779999,133.500000,134.210007,131.602325,1374200
2022-12-05,133.630005,134.009995,133.020004,133.679993,131.082611,3049100
2022-12-06,133.800003,134.020004,131.289993,132.279999,129.709824,1888400
2022-12-07,132.220001,132.389999,131.440002,131.889999,129.327408,1648300
2022-12-08,132.000000,132.410004,130.470001,131.289993,128.739059,1869700
2022-12-09,131.229996,131.710007,130.720001,130.910004,128.366440,1238500
2022-12-12,131.350006,132.419998,130.529999,132.130005,129.562744,3034000
2022-12-13,133.550003,133.600006,128.839996,130.160004,127.631012,3958300
2022-12-14,130.130005,130.880005,129.149994,129.419998,126.905388,1800800
2022-12-15,128.539993,128.919998,127.349998,128.220001,125.728699,1972700
2022-12-16,127.199997,128.550003,127.190002,127.959999,125.473755,6758500
2022-12-19,128.000000,128.589996,126.400002,126.760002,124.297073,2569100
2022-12-20,127.540001,128.460007,127.080002,127.500000,125.022690,3750500
2022-12-21,128.139999,129.309998,128.089996,128.669998,126.169960,2183800
2022-12-22,128.000000,128.289993,126.349998,127.730003,125.248230,2441100
2022-12-23,127.720001,128.449997,127.260002,128.279999,125.787529,2134600
2022-12-28,127.559998,128.660004,127.300003,127.709999,125.228607,3163800
2022-12-29,128.149994,128.880005,127.820000,128.660004,126.160156,3256100
2022-12-30,128.119995,128.750000,126.680000,127.300003,124.826576,3545800
2023-01-03,128.410004,128.860001,127.360001,128.029999,125.542397,4506700
2023-01-04,128.500000,130.050003,128.139999,129.169998,126.660240,3282500
2023-01-05,128.020004,129.029999,127.870003,128.789993,126.287621,2219400
2023-01-06,129.020004,130.470001,128.820007,130.429993,127.895752,3559400
2023-01-09,130.820007,131.830002,130.570007,131.399994,128.846909,3719700
2023-01-10,131.509995,133.000000,131.169998,132.899994,130.317764,4505300
2023-01-11,133.199997,133.699997,132.410004,132.770004,130.190292,2530300
2023-01-12,133.000000,134.000000,132.550003,133.449997,130.857086,13776600
2023-01-13,132.899994,134.710007,132.899994,134.279999,131.670944,3351300
2023-01-16,134.000000,135.139999,134.000000,134.690002,132.072998,3427300
2023-01-17,134.970001,135.679993,134.559998,135.300003,132.671143,8033800
2023-01-18,135.460007,135.899994,134.470001,134.570007,131.955338,7128800
2023-01-19,133.889999,134.710007,133.699997,134.470001,131.857269,4474300
2023-01-20,134.520004,134.740005,133.789993,134.710007,132.092606,6311600
2023-01-23,135.000000,135.220001,133.580002,134.729996,132.112213,12461800
2023-01-24,134.539993,135.240005,134.059998,135.119995,132.494644,5401700
2023-01-25,133.619995,133.880005,132.880005,133.490005,132.187668,14669100
2023-01-26,133.779999,135.740005,133.729996,135.610001,134.286972,11180400
2023-01-27,135.860001,135.949997,134.539993,134.649994,133.336334,3776400
2023-01-30,134.009995,135.240005,134.009995,135.070007,133.752258,4274200
2023-01-31,135.399994,136.300003,134.710007,136.160004,134.831619,4103100
2023-02-01,136.210007,137.330002,135.610001,136.490005,135.158401,4967000
2023-02-02,136.649994,137.089996,136.009995,136.389999,135.059372,3755000
2023-02-03,136.500000,138.199997,136.460007,138.149994,136.802185,4559100
2023-02-06,137.630005,138.250000,137.070007,138.119995,136.772491,7063600
2023-02-07,137.589996,139.070007,137.419998,138.619995,137.267609,5276300
2023-02-08,138.229996,139.639999,138.039993,139.550003,138.188538,3103900
2023-02-09,139.990005,140.179993,138.550003,139.250000,137.891464,3103000
2023-02-10,138.759995,139.229996,138.259995,138.759995,137.406235,4095700
2023-02-13,138.750000,139.440002,138.350006,138.990005,137.634003,4340000
2023-02-14,138.770004,139.250000,138.059998,138.850006,137.495377,2514100
2023-02-15,137.990005,138.759995,137.779999,138.669998,137.317123,5379800
2023-02-16,138.309998,139.380005,138.309998,138.539993,137.188385,5294400
2023-02-17,137.759995,139.350006,137.759995,138.789993,137.435944,5139900
2023-02-21,138.300003,138.649994,137.710007,138.229996,136.881409,3834400
2023-02-22,137.750000,137.820007,136.350006,136.550003,135.217804,4922300
2023-02-23,137.000000,137.190002,135.399994,135.869995,134.544434,2714400
2023-02-24,135.350006,137.279999,135.139999,137.220001,135.881271,2826100
2023-02-27,137.500000,138.770004,137.419998,138.039993,136.693268,1882300
2023-02-28,137.679993,138.800003,137.479996,138.539993,137.188385,3941300
2023-03-01,136.649994,137.050003,132.350006,133.619995,132.316391,5951400
2023-03-02,133.600006,136.380005,133.089996,136.210007,134.881134,3822300
2023-03-03,136.710007,137.190002,136.500000,136.750000,135.415848,3257900
2023-03-06,136.860001,137.779999,136.630005,137.210007,135.871368,2781200
2023-03-07,137.210007,137.210007,135.619995,136.539993,135.207901,2226900
2023-03-08,135.710007,137.229996,135.710007,137.059998,135.722824,2711800
2023-03-09,136.889999,137.160004,134.910004,135.389999,134.069122,3352700
2023-03-10,134.449997,135.000000,132.610001,133.110001,131.811371,4088800
2023-03-13,131.000000,132.220001,128.910004,131.270004,129.989319,4516000
2023-03-14,133.960007,134.110001,131.529999,132.759995,131.464783,3058500
2023-03-15,130.000000,130.880005,129.149994,130.539993,129.266434,4193800
2023-03-16,129.889999,132.309998,128.529999,130.500000,129.226837,3128200
2023-03-17,129.080002,129.199997,127.029999,127.260002,126.018440,8312600
2023-03-20,127.459999,129.330002,127.449997,128.550003,127.295860,2152900
2023-03-21,130.000000,130.899994,129.580002,129.779999,128.513855,2694200
2023-03-22,130.660004,130.660004,127.970001,127.989998,126.741318,2613900
2023-03-23,128.100006,129.100006,126.559998,127.070000,125.830292,3565400
2023-03-24,125.720001,126.900002,125.320000,126.809998,125.572830,2106200
2023-03-27,128.100006,128.169998,127.029999,127.769997,126.523460,2212800
2023-03-28,127.699997,128.320007,126.760002,127.139999,125.899612,3658400
2023-03-29,127.870003,128.350006,127.389999,128.119995,126.870049,2775800
2023-03-30,129.110001,129.470001,128.169998,128.460007,127.206741,1924500
2023-03-31,128.529999,129.300003,128.529999,129.250000,127.989029,2188500
2023-04-03,130.229996,130.949997,129.979996,130.940002,129.662537,4232800
2023-04-04,131.649994,131.820007,129.360001,130.460007,129.187225,3007400
2023-04-05,130.110001,130.529999,129.410004,130.330002,129.058487,3150700
2023-04-06,130.009995,130.800003,129.679993,130.550003,129.276352,4126100
2023-04-10,130.250000,131.610001,130.059998,131.169998,129.890289,4172600
2023-04-11,131.449997,132.570007,131.429993,131.779999,130.494339,3337300
2023-04-12,132.440002,132.720001,131.139999,131.869995,130.583466,7846600
2023-04-13,131.919998,132.199997,131.130005,132.089996,130.801315,2898500
2023-04-14,133.169998,133.600006,132.589996,132.789993,131.494476,8465100
2023-04-17,132.600006,133.580002,132.289993,133.529999,132.227264,8318700
2023-04-18,133.880005,134.669998,133.570007,134.289993,132.979843,11379900
2023-04-19,134.179993,134.880005,133.899994,134.690002,133.375961,4391900
2023-04-20,134.000000,134.949997,134.000000,134.750000,133.435364,4026200
2023-04-21,134.759995,135.399994,134.059998,135.300003,133.980011,6370800
2023-04-24,134.220001,134.229996,133.059998,133.470001,133.470001,16872800
2023-04-25,133.449997,133.820007,131.259995,131.759995,131.759995,8851700
2023-04-26,131.729996,132.550003,131.080002,132.229996,132.229996,8494800
2023-04-27,132.729996,134.059998,132.619995,133.789993,133.789993,5372300
2023-04-28,133.289993,134.539993,133.199997,134.509995,134.509995,4844000
2023-05-01,134.850006,135.350006,134.270004,134.369995,134.369995,6137300
2023-05-02,134.199997,134.199997,130.910004,131.440002,131.440002,4395200
2023-05-03,131.279999,132.429993,131.020004,131.119995,131.119995,2655100
2023-05-04,130.179993,130.190002,128.500000,129.270004,129.270004,2220500
2023-05-05,130.820007,131.199997,130.020004,131.080002,131.080002,2624400
2023-05-08,131.190002,132.229996,130.910004,131.350006,131.350006,4847500
2023-05-09,130.029999,130.389999,128.639999,129.429993,129.429993,2600500
2023-05-10,129.639999,129.880005,128.130005,128.960007,128.960007,4930700
2023-05-11,128.960007,129.940002,128.490005,129.839996,129.839996,2851600
2023-05-12,130.300003,130.740005,129.350006,129.889999,129.889999,2317900
2023-05-15,129.820007,131.009995,129.800003,130.919998,130.919998,6590700
2023-05-16,129.330002,130.270004,128.070007,128.300003,128.300003,6014200
2023-05-17,128.559998,128.889999,127.830002,128.619995,128.619995,3645300
2023-05-18,128.589996,128.669998,127.139999,127.900002,127.900002,4477700
2023-05-19,128.179993,128.490005,126.849998,127.190002,127.190002,4390000
2023-05-23,126.779999,127.209999,125.879997,125.879997,125.879997,5225900
2023-05-24,124.930000,125.000000,123.120003,123.750000,123.750000,3552100
2023-05-25,122.470001,123.709999,120.099998,121.480003,121.480003,4354700
2023-05-26,121.750000,123.489998,121.199997,123.080002,123.080002,2550100
2023-05-29,123.470001,123.879997,123.190002,123.489998,123.489998,525300
2023-05-30,123.150002,123.639999,122.580002,123.110001,123.110001,2464800
2023-05-31,122.849998,123.000000,121.209999,121.430000,121.430000,3749600
2023-06-01,121.470001,122.410004,120.970001,121.589996,121.589996,4557800
2023-06-02,122.089996,124.260002,122.089996,124.059998,124.059998,3440500
2023-06-05,124.500000,124.779999,122.720001,122.919998,122.919998,2500100
2023-06-06,122.769997,123.800003,122.300003,123.709999,123.709999,1155000
2023-06-07,123.620003,123.849998,122.500000,123.089996,123.089996,1170100
2023-06-08,122.959999,123.680000,122.160004,123.300003,123.300003,1934100
2023-06-09,123.339996,123.800003,122.900002,123.300003,123.300003,387495
