Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,932.979980,953.989990,926.090027,952.239990,938.987915,42500
2018-08-27,953.000000,953.000000,941.549988,946.500000,933.327942,33400
2018-08-28,947.450012,949.690002,941.599976,945.650024,932.489685,16100
2018-08-29,945.659973,965.450012,945.650024,962.609985,949.213623,29000
2018-08-30,960.460022,992.000000,959.520020,992.000000,978.194641,64500
2018-08-31,989.950012,1003.330017,968.989990,995.090027,981.241638,61700
2018-09-04,994.609985,994.609985,962.159973,979.000000,965.375549,45400
2018-09-05,980.059998,980.059998,944.280029,958.750000,945.407288,44600
2018-09-06,957.710022,958.000000,931.969971,944.309998,931.168335,23000
2018-09-07,938.780029,950.750000,936.650024,943.669983,930.537109,40100
2018-09-10,945.299988,959.799988,943.950012,958.429993,945.091919,43500
2018-09-11,955.760010,958.559998,943.969971,954.159973,940.881287,35100
2018-09-12,953.950012,959.400024,935.219971,946.840027,933.663147,29900
2018-09-13,946.840027,947.929993,921.309998,937.570007,925.793213,34900
2018-09-14,936.090027,943.159973,932.390015,935.750000,923.996094,19000
2018-09-17,934.159973,940.559998,925.659973,930.000000,918.318298,40300
2018-09-18,929.880005,944.289978,929.679993,943.489990,931.638855,23300
2018-09-19,940.400024,955.729980,940.400024,955.729980,943.725159,46700
2018-09-20,957.700012,959.729980,948.340027,950.070007,938.136108,27900
2018-09-21,953.159973,964.239990,951.729980,955.010010,943.014160,60900
2018-09-24,952.500000,956.119995,945.479980,949.510010,937.583374,57700
2018-09-25,953.179993,966.260010,942.909973,944.609985,932.744751,26500
2018-09-26,944.289978,955.109985,927.400024,930.710022,919.019409,48900
2018-09-27,931.229980,959.919983,931.229980,958.619995,946.578735,35700
2018-09-28,957.400024,965.719971,944.190002,949.869995,937.938782,57100
2018-10-01,955.489990,969.989990,935.960022,939.989990,928.182800,30700
2018-10-02,938.609985,941.119995,918.309998,925.010010,913.390991,55100
2018-10-03,925.650024,940.820007,925.650024,930.250000,918.565186,21500
2018-10-04,929.940002,937.000000,920.849976,925.000000,913.380981,48200
2018-10-05,925.000000,937.969971,925.000000,930.020020,918.338013,39300
2018-10-09,928.119995,928.119995,910.000000,917.010010,905.491455,38100
2018-10-10,917.000000,924.469971,877.099976,879.900024,868.847595,74600
2018-10-11,872.609985,903.659973,872.609985,888.369995,877.211121,117500
2018-10-12,888.780029,896.650024,873.179993,891.169983,879.975952,65800
2018-10-15,891.659973,894.789978,867.750000,874.989990,863.999390,27500
2018-10-16,877.349976,931.260010,875.460022,927.140015,915.494202,56000
2018-10-17,927.780029,936.919983,895.010010,907.159973,895.765198,30700
2018-10-18,902.510010,914.690002,883.450012,889.969971,878.791016,35800
2018-10-19,892.099976,908.219971,884.059998,886.239990,875.107971,57100
2018-10-22,890.010010,913.669983,884.000000,905.919983,894.540833,49400
2018-10-23,892.359985,903.400024,877.010010,881.679993,870.605408,40200
2018-10-24,880.020020,893.000000,857.880005,860.000000,849.197693,61300
2018-10-25,868.109985,870.000000,856.000000,860.000000,849.197693,93500
2018-10-26,855.000000,874.349976,846.200012,871.460022,860.513672,86600
